Full Title,Artist,Genre,Instrument,Year
Bounce That Body,Wax Master Maurice,Electronic / Dance,Vocals / Lyrics,by Wax Master Maurice (1995)
Morning Glory,Seba,Electronic / Dance,Multiple Elements,by Seba (2006)
Boogie Down,The Boogie Down Kru,Electronic / Dance,Drums,by The Boogie Down Kru (1995)
Sex With a Stranger,Dj Kurevo,Electronic / Dance,Multiple Elements,by Dj Kurevo (2021)
I Thought About Leaving Her,Rashad (R&B),Hip-Hop / Rap / R&B,Vocals / Lyrics,by Rashad (R&B) (2015)
Kiss Me Honey Honey Kiss Me,Bombalurina,Rock / Pop,Vocals / Lyrics,by Bombalurina (1990)
The Rollin' Funka Stone,Block & Crown,Electronic / Dance,Vocals / Lyrics,"by Block & Crown, Lissat and Martina Budde (2020)"
The Rollin' Funka Stone,Lissat,Electronic / Dance,Vocals / Lyrics,"by Block & Crown, Lissat and Martina Budde (2020)"
The Rollin' Funka Stone,Martina Budde,Electronic / Dance,Vocals / Lyrics,"by Block & Crown, Lissat and Martina Budde (2020)"
Screw Up,Ewun,Electronic / Dance,Multiple Elements,by Ewun (2006)
Pressure,Unknown Artist (Vibez '93),Electronic / Dance,Drums,by Unknown Artist (Vibez '93) (2019)
Love Sensation (Total Mix),Donna Johnson,Electronic / Dance,Multiple Elements,by Donna Johnson (1991)
Don't Fuck Around Ho,M1dlet,Electronic / Dance,Drums,by M1dlet (2013)
I'm in Love,Secret,Rock / Pop,Vocals / Lyrics,by Secret (2014)
Fatal Error,ASC,Electronic / Dance,Drums,by ASC (2020)
Teknogroove,Kike Boy,Electronic / Dance,Multiple Elements,by Kike Boy (1996)
Bombscare,DnB Sound Mafia,Electronic / Dance,Drums,by DnB Sound Mafia (2010)
On the Uprise,Sound Authority,Electronic / Dance,Vocals / Lyrics,by Sound Authority (1990)
Untitled (HOT-002 Side B),Hot Steppers,Electronic / Dance,Multiple Elements,by Hot Steppers (1995)
To Infinity and Be Gone,Lung,Electronic / Dance,Drums,by Lung (2016)
This Track Is Brought to You by 2014,Larsht_,Electronic / Dance,Drums,by Larsht_ (2021)
The Silence,Kove,Electronic / Dance,Multiple Elements,by Kove (2016)
Bermuda,Zero T,Electronic / Dance,Multiple Elements,by Zero T (2019)
Cum Get Me,Full House (Hip-Hop),Hip-Hop / Rap / R&B,Multiple Elements,by Full House (Hip-Hop) (1992)
IX,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧ (2022)
Operation II,Djipe,Electronic / Dance,Multiple Elements,by Djipe feat. The Purge (2021)
Operation II,The Purge,Electronic / Dance,Multiple Elements,by Djipe feat. The Purge (2021)
Dubplate Murder Sound,Shitmat,Electronic / Dance,Drums,by Shitmat (2004)
Diss Is for the Suckas,F1rst Star,Hip-Hop / Rap / R&B,Multiple Elements,by F1rst Star (1991)
Art of Control,Berty B,Electronic / Dance,Drums,by Berty B and Dillinja (1994)
Art of Control,Dillinja,Electronic / Dance,Drums,by Berty B and Dillinja (1994)
Whale Cry,The Meditator,Electronic / Dance,Drums,by The Meditator and Msymiakos (2019)
Whale Cry,Msymiakos,Electronic / Dance,Drums,by The Meditator and Msymiakos (2019)
Virtual Prayer,B.L.I.M.,Electronic / Dance,Multiple Elements,by B.L.I.M. (1995)
Bass Kick,Dylan,Electronic / Dance,Multiple Elements,by Dylan and DJ Damage (2000)
Bass Kick,DJ Damage,Electronic / Dance,Multiple Elements,by Dylan and DJ Damage (2000)
Dale Huevo,M.C. Ninja,Hip-Hop / Rap / R&B,Vocals / Lyrics,by M.C. Ninja (1991)
Feel Like Dancing,Michael Dream,Electronic / Dance,Multiple Elements,by Michael Dream (1992)
Dust Out,FFF (2),Electronic / Dance,Drums,by FFF (2) (2016)
Disco Inferno (Adrian Michaels Remix),Gary Caos,Electronic / Dance,Vocals / Lyrics,by Gary Caos (2021)
Samples & Effects I,The Original Unknown DJs,Other,Multiple Elements,by The Original Unknown DJs (1991)
On the Strenght,Cool Hand Flex,Electronic / Dance,Drums,by Cool Hand Flex (1992)
Original Soundtrack,Omni Trio,Electronic / Dance,Drums,by Omni Trio (1994)
Unreal,Concord Dawn,Electronic / Dance,Drums,by Concord Dawn and Ill.Skillz (2004)
Unreal,Ill.Skillz,Electronic / Dance,Drums,by Concord Dawn and Ill.Skillz (2004)
Long Train Rappin (Long Train Running),Don Pablo's Animals,Electronic / Dance,Multiple Elements,by Don Pablo's Animals (1990)
Heavy Mental,Loxy,Electronic / Dance,Multiple Elements,by Loxy and DJ Ink (2002)
Heavy Mental,DJ Ink,Electronic / Dance,Multiple Elements,by Loxy and DJ Ink (2002)
Papa Lover Jungle (The Remix),General Degree,Electronic / Dance,Drums,by General Degree and DJ Stretch (1995)
Papa Lover Jungle (The Remix),DJ Stretch,Electronic / Dance,Drums,by General Degree and DJ Stretch (1995)
Run Red,Liondub,Electronic / Dance,Multiple Elements,by Liondub (2005)
Movin' On,Changing Faces,Hip-Hop / Rap / R&B,Multiple Elements,by Changing Faces (1994)
Sunshine,Prince Johnny C,Hip-Hop / Rap / R&B,Multiple Elements,by Prince Johnny C (1992)
Thank You for the Music (LAOS Remix),Hydraulix,Electronic / Dance,Drums,by Hydraulix feat. Zuri Akoko (2013)
Thank You for the Music (LAOS Remix),Zuri Akoko,Electronic / Dance,Drums,by Hydraulix feat. Zuri Akoko (2013)
In Da Place,Alumina,Electronic / Dance,Drums,by Alumina (2001)
Armageddon: Who Pushed the Button?,Prince Akeem,Hip-Hop / Rap / R&B,Multiple Elements,by Prince Akeem (1991)
The Bone (Original Mix),The Rockford Files,Electronic / Dance,Drums,by The Rockford Files (1995)
Red,DJ Matt,Electronic / Dance,Drums,by DJ Matt and Dr. P (1994)
Red,Dr. P,Electronic / Dance,Drums,by DJ Matt and Dr. P (1994)
I Love the Way You Do It,To Kool Chris,Electronic / Dance,Drums,by To Kool Chris and Kool Rock Steady (1995)
I Love the Way You Do It,Kool Rock Steady,Electronic / Dance,Drums,by To Kool Chris and Kool Rock Steady (1995)
Selfmachine (Sub Focus Remix),I Blame Coco,Electronic / Dance,Multiple Elements,by I Blame Coco (2010)
Ain't It Good to You (Remix),Ultramagnetic MC's,Hip-Hop / Rap / R&B,Multiple Elements,by Ultramagnetic MC's (2012)
Saturday Night,Lika Morgan,Electronic / Dance,Vocals / Lyrics,by Lika Morgan (2018)
Artifact,Aquarian,Electronic / Dance,Drums,by Aquarian (2014)
El Latigo,Toby Toon,Other,Vocals / Lyrics,by Toby Toon (2004)
Between the Eyes,Soul of Man,Electronic / Dance,Drums,by Soul of Man (1998)
Easy Pt.1,Danny Breaks,Electronic / Dance,Drums,by Danny Breaks (1995)
Baltimorrow's Parties,Kid606,Electronic / Dance,Drums,by Kid606 (2009)
Innate,DJ Zinc,Electronic / Dance,Drums,by DJ Zinc (1996)
You Thought It Was Breakcore? It Was ██████ All Along​!​!​!,GulloHack,Electronic / Dance,Drums,by GulloHack (2022)
The Journey,The Invisible Man (Hardcore),Electronic / Dance,Drums,by The Invisible Man (Hardcore) (2015)
Call Me,Rolling Paper,Electronic / Dance,Drums,by Rolling Paper (2015)
Stand Guard,Msymiakos,Electronic / Dance,Drums,by Msymiakos and Ontology (2019)
Stand Guard,Ontology,Electronic / Dance,Drums,by Msymiakos and Ontology (2019)
Give It Up,Insane Klan,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Insane Klan (1994)
Legion of Boom,Addison Groove,Electronic / Dance,Multiple Elements,by Addison Groove and DJ Die (2016)
Legion of Boom,DJ Die,Electronic / Dance,Multiple Elements,by Addison Groove and DJ Die (2016)
Just Another 909 Beat,Frank De Wulf,Electronic / Dance,Multiple Elements,by Frank De Wulf (1990)
Mama Said,II Much Chaus,Hip-Hop / Rap / R&B,Multiple Elements,by II Much Chaus (1992)
Drifting Thru the Galaxy,Atlas (Jungle),Electronic / Dance,Drums,by Atlas (Jungle) (1994)
95,Figures (Jungle),Electronic / Dance,Drums,by Figures (Jungle) (2020)
Sorry (2016),Robots With Rayguns,Electronic / Dance,Vocals / Lyrics,by Robots With Rayguns feat. Dream Shore (2016)
Sorry (2016),Dream Shore,Electronic / Dance,Vocals / Lyrics,by Robots With Rayguns feat. Dream Shore (2016)
Twisted Amen,The Specialist,Electronic / Dance,Drums,by The Specialist (1996)
The Flow,Triple 6,Hip-Hop / Rap / R&B,Drums,by Triple 6 (1992)
Old Ragga,Bling Bling,Electronic / Dance,Multiple Elements,by Bling Bling (2005)
Five O'Clock,Twisted Anger,Electronic / Dance,Drums,by Twisted Anger (1997)
Jump to It,T-Ram,Electronic / Dance,Vocals / Lyrics,by T-Ram (1990)
Stomp Ya Feet,DJ Hype,Electronic / Dance,Multiple Elements,by DJ Hype (1996)
Insomnia of an Anxious Mind,Keeno,Electronic / Dance,Multiple Elements,by Keeno (2017)
The Pain Train,Rodox Trading,Electronic / Dance,Drums,by Rodox Trading (2022)
The Powers That Be,Dangerous Dame,Hip-Hop / Rap / R&B,Drums,by Dangerous Dame (1990)
Milliondollar Freestyler Cazze,M.C. Cazze,Hip-Hop / Rap / R&B,Multiple Elements,by M.C. Cazze (1988)
Untitled (Mix 1),Special T,Electronic / Dance,Multiple Elements,by Special T (1997)
Dream,Joka (German Rapper),Hip-Hop / Rap / R&B,Vocals / Lyrics,by Joka (German Rapper) (2016)
Sahnoon Rog Laan Walia,Nusrat Fateh Ali Khan,Electronic / Dance,Vocals / Lyrics,by Nusrat Fateh Ali Khan (1991)
Breakcore Is Massive,Shoebill,Electronic / Dance,Drums,by Shoebill (2017)
Expression,In Perfection,Electronic / Dance,Drums,by In Perfection (1993)
Roll Out,Smith Comma John,Electronic / Dance,Drums,by Smith Comma John (2019)
Braka,Point G,Electronic / Dance,Drums,by Point G (2013)
One Track Mind,DJ Peekay,Electronic / Dance,Drums,by DJ Peekay (1993)
Revival House,Bob Miller,Electronic / Dance,Vocals / Lyrics,by Bob Miller (1990)
Rolling With the Flavour,L.O.L.,Hip-Hop / Rap / R&B,Vocals / Lyrics,by L.O.L. (1994)
正直金髪メイドは最高だと思います (この曲に金髪メイド要素はありません),Lzie,Electronic / Dance,Drums,by Lzie (2016)
Rainbow,Shinehead,Reggae / Dub,Drums,by Shinehead (1992)
Rubicon,Comfort Zone,Electronic / Dance,Drums,by Comfort Zone and Tim Reaper (2020)
Rubicon,Tim Reaper,Electronic / Dance,Drums,by Comfort Zone and Tim Reaper (2020)
Miss Johnson,Verse Simmonds,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Verse Simmonds (2014)
Set Me Free,Potential Bad Boy,Electronic / Dance,Drums,by Potential Bad Boy (1993)
Beats Track,Foul Play,Electronic / Dance,Drums,by Foul Play (1994)
Helter,Culprate,Electronic / Dance,Vocals / Lyrics,by Culprate (2018)
Kan U Feel It,Dancemaster,Electronic / Dance,Drums,by Dancemaster (1993)
The CEILING COULD NEVER HOLD US,PISS SPEARS,Electronic / Dance,Drums,"by PISS SPEARS, $44,000 and Bobby Zilch (2014)"
The CEILING COULD NEVER HOLD US,"$44,000 ",Electronic / Dance,Drums,"by PISS SPEARS, $44,000 and Bobby Zilch (2014)"
The CEILING COULD NEVER HOLD US,Bobby Zilch,Electronic / Dance,Drums,"by PISS SPEARS, $44,000 and Bobby Zilch (2014)"
Move if You Want to Move,Ondray Pearson,Hip-Hop / Rap / R&B,Multiple Elements,by Ondray Pearson (1990)
Rave Till Morning,Order 2 Move,Electronic / Dance,Drums,by Order 2 Move (1993)
Money,Etc!Etc!,Electronic / Dance,Vocals / Lyrics,by Etc!Etc! and Salvatore feat. Hawkeye (2) (2015)
Money,Salvatore,Electronic / Dance,Vocals / Lyrics,by Etc!Etc! and Salvatore feat. Hawkeye (2) (2015)
Money,Hawkeye (2),Electronic / Dance,Vocals / Lyrics,by Etc!Etc! and Salvatore feat. Hawkeye (2) (2015)
Tomato Pasta Think,CDR,Electronic / Dance,Multiple Elements,by CDR (2022)
Lifted Up,Too Strong (2),Hip-Hop / Rap / R&B,Multiple Elements,by Too Strong (2) (1991)
Jackson 5 Surprise,Deekline,Electronic / Dance,Multiple Elements,by Deekline (2010)
El Paré,El General,Hip-Hop / Rap / R&B,Vocals / Lyrics,by El General (1991)
One Moment,Atlantic Connection,Electronic / Dance,Drums,by Atlantic Connection (2014)
You and Me,Remarc,Electronic / Dance,Drums,by Remarc (1996)
The Moonstone Theme,Velocity (Drum & Bass),Electronic / Dance,Multiple Elements,by Velocity (Drum & Bass) (2016)
Shadow Recruit,Acid Lab,Electronic / Dance,Drums,by Acid Lab (2020)
Duncan Created the Track,Smiley,Hip-Hop / Rap / R&B,Drums,by Smiley (1991)
"It's So Good, It's Bad",True Culture,Hip-Hop / Rap / R&B,Vocals / Lyrics,by True Culture (1991)
Thanx 4 the Funk,The Boys,Hip-Hop / Rap / R&B,Vocals / Lyrics,by The Boys (1990)
Moods,Dillinja,Electronic / Dance,Drums,by Dillinja and Mystery (1994)
Moods,Mystery,Electronic / Dance,Drums,by Dillinja and Mystery (1994)
Ich Bin Wie Du (Remix '90),Marianne Rosenberg,Electronic / Dance,Vocals / Lyrics,by Marianne Rosenberg (1990)
Crazy Life,Darkman (4),Electronic / Dance,Drums,by Darkman (4) (1996)
Pulse 0,Fearful,Electronic / Dance,Multiple Elements,"by Fearful, Dexta and Mtwn (2018)"
Pulse 0,Dexta,Electronic / Dance,Multiple Elements,"by Fearful, Dexta and Mtwn (2018)"
Pulse 0,Mtwn,Electronic / Dance,Multiple Elements,"by Fearful, Dexta and Mtwn (2018)"
Shaking,DJ Steef,Electronic / Dance,Drums,by DJ Steef (2015)
Tequila,Interstate 69,Electronic / Dance,Multiple Elements,by Interstate 69 feat. T. La Tone (1991)
Tequila,T. La Tone,Electronic / Dance,Multiple Elements,by Interstate 69 feat. T. La Tone (1991)
Work It,Junkfood Junkies,Electronic / Dance,Multiple Elements,by Junkfood Junkies (1998)
Time Clash,Cleanhead,Electronic / Dance,Multiple Elements,by Cleanhead (1995)
It Is Done,16:16,Hip-Hop / Rap / R&B,Multiple Elements,by 16:16 (1990)
Brave New World,DJ Fokus,Electronic / Dance,Drums,by DJ Fokus (1995)
Frenzy Chord (Ted Ganung Remix),Leaking Shell,Electronic / Dance,Drums,by Leaking Shell (2013)
Your a Dick,Passenger of Shit,Electronic / Dance,Drums,by Passenger of Shit (2002)
Carer,Metro Zee,Electronic / Dance,Drums,by Metro Zee (2020)
Rappers Delight 1990,Rob Harvey,Hip-Hop / Rap / R&B,Multiple Elements,by Rob Harvey (1990)
Do You Know,Black & White (2),Electronic / Dance,Vocals / Lyrics,by Black & White (2) (1994)
Bad Funk (Dem 2's Breakbeat Mix),Antonio,Electronic / Dance,Multiple Elements,by Antonio (1999)
Simple Things,Sully,Electronic / Dance,Drums,by Sully (2014)
The Underground,X-Factor (Hardcore),Electronic / Dance,Multiple Elements,by X-Factor (Hardcore) (1997)
Ride (Remix),KB,Hip-Hop / Rap / R&B,Vocals / Lyrics,by KB (2013)
T.L. Back to Yell,Danger Zone Mobb Sqwad,Hip-Hop / Rap / R&B,Multiple Elements,by Danger Zone Mobb Sqwad (1992)
Sing (Boom Boom Edit),Femminuccie,Electronic / Dance,Vocals / Lyrics,by Femminuccie (1990)
Selecta,Ed Rush,Electronic / Dance,Drums,by Ed Rush (1994)
Warning,Potential Bad Boy,Electronic / Dance,Drums,by Potential Bad Boy (1994)
Those Damn Rasta's Took E Again!,Mr Bad Monkey,Electronic / Dance,Drums,by Mr Bad Monkey (2012)
Dance (Charly Lownoise Remix),Brothers in Crime,Electronic / Dance,Multiple Elements,by Brothers in Crime (1994)
Load the 3.5.7,Oaktown's 3-5-7,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Oaktown's 3-5-7 (1991)
Mera Pia Ghar Ayaa,Nusrat Fateh Ali Khan,World / Latin,Drums,by Nusrat Fateh Ali Khan (1991)
Cave Dweller,Circa96,Electronic / Dance,Drums,by Circa96 (2020)
Pacific,Hellcom,Electronic / Dance,Multiple Elements,by Hellcom (2016)
La Minicumbia,Konnan,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Konnan (1992)
Take Your Time,Teen Dream,Hip-Hop / Rap / R&B,Multiple Elements,by Teen Dream (1989)
Flatline,Flatliner,Electronic / Dance,Drums,by Flatliner (2019)
Breath of My Spirit,Booca,Electronic / Dance,Vocals / Lyrics,by Booca (2020)
Feel the Energy,Mercurial,Electronic / Dance,Drums,by Mercurial (1994)
Yes Gal Tune,Wetman,Electronic / Dance,Drums,by Wetman (2018)
Mais Ela,Scottie B,Electronic / Dance,Drums,by Scottie B feat. Moleque Bil (2008)
Mais Ela,Moleque Bil,Electronic / Dance,Drums,by Scottie B feat. Moleque Bil (2008)
Original Youth,Redskins (Jungle),Electronic / Dance,Drums,by Redskins (Jungle) (1993)
Gangsta Hardstep,Ed Rush,Electronic / Dance,Drums,by Ed Rush (1995)
Scanner,Neuroshima,Electronic / Dance,Drums,by Neuroshima (2016)
I Am Going to Avril Your Entire Family,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧ (2022)
Far Out,Deejay Punk-Roc,Electronic / Dance,Drums,by Deejay Punk-Roc (1998)
Tell Me,Sons of Da Noize,Electronic / Dance,Drums,by Sons of Da Noize (1994)
6th Grade Touhou Fan,Lolicoin,Electronic / Dance,Drums,by Lolicoin (2021)
The Source,Heavyweight,Electronic / Dance,Drums,by Heavyweight (1995)
Top Top,Tony Romera,Electronic / Dance,Multiple Elements,by Tony Romera (2021)
Claw,Nico (Drum & Bass),Electronic / Dance,Drums,by Nico (Drum & Bass) and Zyg (1998)
Claw,Zyg,Electronic / Dance,Drums,by Nico (Drum & Bass) and Zyg (1998)
The New Selecta,Rognvald,Electronic / Dance,Drums,by Rognvald (2018)
Real Golddigger,Candy Fresh,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Candy Fresh (1992)
Me Plus You,Black Noise,Electronic / Dance,Multiple Elements,by Black Noise and Wizard Sleeve feat. Butta Verses (2009)
Me Plus You,Wizard Sleeve,Electronic / Dance,Multiple Elements,by Black Noise and Wizard Sleeve feat. Butta Verses (2009)
Me Plus You,Butta Verses,Electronic / Dance,Multiple Elements,by Black Noise and Wizard Sleeve feat. Butta Verses (2009)
Untitled,Mystical,Electronic / Dance,Drums,by Mystical (1993)
A Big Hit How to Draw a Beast the Second! Increase the Number of Beasts to Be...,Lamo,Electronic / Dance,Drums,by Lamo (2022)
That UB Urself,D-Boy Rodriguez,Hip-Hop / Rap / R&B,Multiple Elements,by D-Boy Rodriguez (1990)
Final Bounce (Neo Image 'In Contact' Mix),Flørist,Electronic / Dance,Drums,by Flørist (2015)
Out of Control,Mike Delinquent Project,Electronic / Dance,Drums,by Mike Delinquent Project feat. Kcat and Donae'o (2011)
Out of Control,Kcat,Electronic / Dance,Drums,by Mike Delinquent Project feat. Kcat and Donae'o (2011)
Out of Control,Donae'o,Electronic / Dance,Drums,by Mike Delinquent Project feat. Kcat and Donae'o (2011)
The Robbery (Boom That Was My Nine Yo),Joe Kool,Hip-Hop / Rap / R&B,Multiple Elements,by Joe Kool (1991)
You Would Want Me to Be Happy,･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧,Electronic / Dance,Drums,by ･ﾟ✧(=✪ ᆺ ✪=) - ･ﾟ✧ (2022)
Italomagia,Afdez,Electronic / Dance,Drums,by Afdez (2022)
That Hyde Trakk,LOFT (Producer),Electronic / Dance,Drums,by LOFT (Producer) (2019)
Break Down,Philadelphia (Italo House),Electronic / Dance,Multiple Elements,by Philadelphia (Italo House) feat. Michelle (1990s Singer) (1991)
Break Down,Michelle (1990s Singer),Electronic / Dance,Multiple Elements,by Philadelphia (Italo House) feat. Michelle (1990s Singer) (1991)
Up!,Dune,Electronic / Dance,Drums,by Dune (1995)
Full Metal Jacket,Phuture Primitive,Electronic / Dance,Drums,by Phuture Primitive (1993)
Pace Maker,Zero Tolerance,Electronic / Dance,Drums,by Zero Tolerance (2002)
Try a Style,Phaze 1,Electronic / Dance,Drums,by Phaze 1 (1995)
Speed,Mastermind,Electronic / Dance,Drums,by Mastermind (1995)
Hear the Angels (Transahara Club Mix),Da Juice,Electronic / Dance,Multiple Elements,by Da Juice (1991)
You Will (Gawvi Remix),Andy Mineo,Electronic / Dance,Multiple Elements,by Andy Mineo (2015)
Bak on Da Scene,Fast Eddie,Electronic / Dance,Drums,by Fast Eddie (1992)
It Takes Love to Be a Player,Scram Jones,Hip-Hop / Rap / R&B,Multiple Elements,by Scram Jones (2015)
More Brilliant Than the Sun,High Contrast,Electronic / Dance,Drums,by High Contrast (2020)
Disk 2,High Contrast,Electronic / Dance,Drums,by High Contrast (2020)
Fenix Break,Roy of the Ravers,Electronic / Dance,Drums,by Roy of the Ravers (2020)
Sugarfalls,LSDXOXO,Electronic / Dance,Multiple Elements,by LSDXOXO (2016)
Le Disco Digitales,LemKuuja,Electronic / Dance,Multiple Elements,by LemKuuja (2018)
True Unity (Original Mix),DJ Unity,Electronic / Dance,Drums,by DJ Unity feat. Yemisi (1995)
True Unity (Original Mix),Yemisi,Electronic / Dance,Drums,by DJ Unity feat. Yemisi (1995)
Think Acid,The Flashbulb,Electronic / Dance,Multiple Elements,by The Flashbulb (2003)
Chains,Hard & Pure,Electronic / Dance,Drums,by Hard & Pure (1993)
Funked Up,South Central Cartel,Hip-Hop / Rap / R&B,Vocals / Lyrics,by South Central Cartel (1990)
Spice,Aphrodite,Electronic / Dance,Drums,by Aphrodite (1996)
Amnesia,B Key,Electronic / Dance,Vocals / Lyrics,by B Key (2002)
Love Injected (Makree Remix),Aminata,Electronic / Dance,Multiple Elements,by Aminata (2015)
An Outrageous Fate Type,Clouds,Electronic / Dance,Drums,by Clouds (2016)
1st Movement (For Maddox),Penisland,Electronic / Dance,Sound Effect / Other,by Penisland (2021)
Carry Me Home,Redeyes,Electronic / Dance,Drums,by Redeyes (2020)
Control,Ital Tek,Electronic / Dance,Drums,by Ital Tek (2013)
Running,The Essence (Drum and Bass),Electronic / Dance,Drums,by The Essence (Drum and Bass) (1995)
Im From Virginia and I Love Pizza and I Wanna Be Your Fleshlight :Weary:,WhoreDung,Electronic / Dance,Multiple Elements,by WhoreDung (2022)
"Work (12"" Mix)",Technotronic,Electronic / Dance,Multiple Elements,by Technotronic (1991)
When House Music Is Born,Babert,Electronic / Dance,Multiple Elements,by Babert (2020)
The Morning After,Mastermind,Electronic / Dance,Drums,by Mastermind (1997)
Forever,Interception,Electronic / Dance,Drums,by Interception (1995)
Broken Dub,Digital,Electronic / Dance,Drums,by Digital and Response (2019)
Broken Dub,Response,Electronic / Dance,Drums,by Digital and Response (2019)
Sacrifice,Ultramatix,Electronic / Dance,Drums,by Ultramatix (1990)
Becoming,Middle Clash,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Middle Clash (2014)
Love You,Deer,Electronic / Dance,Drums,by Deer (2014)
Your Love,DnB Sound Mafia,Electronic / Dance,Drums,by DnB Sound Mafia (2010)
As Fast as It Goes,Dragon Fly,Electronic / Dance,Drums,by Dragon Fly (1993)
Enjoy (Crookers Vocal Edit),The Outhere Brothers,Electronic / Dance,Drums,by The Outhere Brothers (2009)
Think,Hapkido,Electronic / Dance,Multiple Elements,by Hapkido (2014)
T.Y.T.R.,Kid606,Electronic / Dance,Drums,by Kid606 (2006)
Pump Up the Volume (Original DMC Mix),Greed,Electronic / Dance,Drums,by Greed (1994)
Tugz,Breakage,Electronic / Dance,Multiple Elements,by Breakage (2016)
Candles (DJ Pulse Mix),Alex Reece,Electronic / Dance,Multiple Elements,by Alex Reece (1996)
Temptation,Indra,Rock / Pop,Multiple Elements,by Indra (1991)
Fire (HoT Remix),Radikal Guru,Electronic / Dance,Drums,by Radikal Guru (2014)
Feel Free,Rough Dance Squad,Electronic / Dance,Drums,by Rough Dance Squad feat. Alphia (1991)
Feel Free,Alphia,Electronic / Dance,Drums,by Rough Dance Squad feat. Alphia (1991)
Shame,Cartouche,Electronic / Dance,Drums,by Cartouche (1993)
The Prophet,The Upfull Rockers,Electronic / Dance,Drums,by The Upfull Rockers (2006)
Gigolows Got It Going On,Red Hot Lover Tone,Hip-Hop / Rap / R&B,Drums,by Red Hot Lover Tone (1992)
Flynny's Theme,The Criminal Minds,Electronic / Dance,Drums,by The Criminal Minds (1992)
Don't Sit Down,One Cause One Effect,Hip-Hop / Rap / R&B,Vocals / Lyrics,by One Cause One Effect (1990)
Labyrinth,All the King's Horses,Hip-Hop / Rap / R&B,Multiple Elements,by All the King's Horses (1993)
TLC,Vesta Williams,Soul / Funk / Disco,Vocals / Lyrics,by Vesta Williams (1991)
The Force Is Electric,Ed Rush,Electronic / Dance,Drums,by Ed Rush (1995)
Try My Love,Highland Place Mobsters,Hip-Hop / Rap / R&B,Multiple Elements,by Highland Place Mobsters (1992)
Best DJ,MC's of Rap,Hip-Hop / Rap / R&B,Vocals / Lyrics,by MC's of Rap (1990)
La Ley De Konnan,Konnan,Hip-Hop / Rap / R&B,Vocals / Lyrics,by Konnan (1992)
1995,Blade (Drum & Bass),Electronic / Dance,Drums,by Blade (Drum & Bass) (2020)
Looks Like Another Love,DJ ToKyO,Electronic / Dance,Drums,by DJ ToKyO (2020)
Strokin',Crookers,Electronic / Dance,Vocals / Lyrics,by Crookers feat. TJR and Antwon (2015)
Strokin',TJR,Electronic / Dance,Vocals / Lyrics,by Crookers feat. TJR and Antwon (2015)
Strokin',Antwon,Electronic / Dance,Vocals / Lyrics,by Crookers feat. TJR and Antwon (2015)
Coldest Hearts,DRS,Hip-Hop / Rap / R&B,Drums,by DRS (2015)
Skat Strut (Hip Hop Remix),MC Skat Kat and the Stray Mob,Hip-Hop / Rap / R&B,Drums,by MC Skat Kat and the Stray Mob (1991)
The Modern Bass Guitar,Squarepusher,Electronic / Dance,Drums,by Squarepusher (2006)
Jackal,Kid Spatula,Electronic / Dance,Drums,by Kid Spatula (2004)
Killa Sound (Krome & Time Remix),Johnny Jungle,Electronic / Dance,Drums,by Johnny Jungle (1995)
Thing Called Love (Funk You Up Extended Mix),The Boys,Hip-Hop / Rap / R&B,Multiple Elements,by The Boys (1990)
No Way Out,D.A.M.N.,Hip-Hop / Rap / R&B,Drums,by D.A.M.N. (1991)
I Like That (Shorty Remix),Stefy De Cicco,Electronic / Dance,Vocals / Lyrics,by Stefy De Cicco feat. Stella Mwangi (2017)
I Like That (Shorty Remix),Stella Mwangi,Electronic / Dance,Vocals / Lyrics,by Stefy De Cicco feat. Stella Mwangi (2017)
Murder Yuh Blood,Deadly D,Electronic / Dance,Multiple Elements,by Deadly D (1995)
On My Mind,G Jones,Electronic / Dance,Multiple Elements,by G Jones and EPROM (2022)
On My Mind,EPROM,Electronic / Dance,Multiple Elements,by G Jones and EPROM (2022)
Time Has No Time,Mod 222,Electronic / Dance,Vocals / Lyrics,by Mod 222 (1990)
Impact,City Connection,Electronic / Dance,Drums,by City Connection (1996)
Icey (She's Bad),Icey Jaye,Hip-Hop / Rap / R&B,Multiple Elements,by Icey Jaye (1989)
Murder,A-Sides,Electronic / Dance,Drums,by A-Sides (1994)
Celebrate Life,Nookie,Electronic / Dance,Drums,by Nookie (2008)
The Look,Breakage,Electronic / Dance,Drums,by Breakage (2005)
S.E.X.O.M.A.T.I.C.,K-Krush,Hip-Hop / Rap / R&B,Drums,by K-Krush (1990)
Press the Buzzer,Kemet Crew,Electronic / Dance,Drums,by Kemet Crew (1995)
Vos Y Yo (DJs Pareja Remix),Ibiza Pareo,Electronic / Dance,Multiple Elements,by Ibiza Pareo (2019)
